"Name","underconsume","overconsume","overcost","av_EV_energy_left","cumulative_reward"
"dulcet-sweep-30","","","","",""
"usual-sweep-29","6293.227285194453","4606.153341986142","158.9429742279423","68.79884307246388","324285.8193358003"
"robust-sweep-28","12956.206863086469","6929.36474596225","254.2869975585353","64.72705289304884","148305.76715345192"
"devout-sweep-27","9809.402965714176","1920.3880869553568","66.62507140825697","62.788059864161994","272265.2830272943"
"warm-sweep-26","","","","",""
"hearty-sweep-25","13994.401646840792","7690.087541692795","280.56986437581384","64.36912430483487","135038.08334117153"
"clear-sweep-24","13360.53015528321","7422.12950863736","271.7822665272121","64.3397098194272","137922.24747970415"
"magic-sweep-23","9817.394655551983","2437.856549838467","88.23585722887357","63.08480141546737","293956.1940968051"
"ancient-sweep-22","11939.20357742072","11203.76022078182","413.9378462449163","69.86754705305266","132149.24608612634"
"fanciful-sweep-21","10193.348928504654","12815.409648789682","456.542874119335","72.81215190402463","146090.61324867074"
"comic-sweep-20","8533.678501256278","11357.57524421196","396.8806391492141","72.89251429764161","189508.2335020327"
"glad-sweep-19","12641.658810859471","6318.502530986249","238.29522149124895","64.395241518994","165154.59501808323"
"gallant-sweep-18","7933.293706078689","4860.724995179241","165.7579740779954","67.85290329812369","267591.6950731441"
"apricot-sweep-17","9480.20769728922","2613.88140512174","97.3764627436185","63.548819498456936","281492.2421367698"
"upbeat-sweep-16","13099.418708004658","7460.557402323763","267.6909423162733","65.11801492339583","142767.66436149686"
"fanciful-sweep-15","8648.722076331034","2693.287172892827","96.0501739895034","64.76664279881733","309352.8855805486"
"ancient-sweep-14","9510.45856007476","10881.792773583144","388.03426757775344","71.85157836512927","181156.2325814719"
"lucky-sweep-13","10659.157914276404","3143.5113232354424","118.23906822719027","63.27576990289679","265420.41595175304"
"unique-sweep-12","10168.494537729764","2140.7322138112386","70.44056816982481","62.73298413523026","273201.5067732296"
"chocolate-sweep-11","7284.305599591815","5423.174557350329","180.76406513015905","69.02757282726712","288522.51218825835"
"morning-sweep-10","12498.340509946473","5051.976087650307","181.43852348567188","63.011266531587154","171200.56947293668"
"fragrant-sweep-9","13032.75958986619","7393.139291651921","271.79386216203943","64.83474392327786","157383.3844840603"
"fluent-sweep-8","8738.763889204965","2272.557855374961","80.90875414784017","64.20901457415415","328073.26199837174"
"lilac-sweep-7","12742.781702147424","8494.413340878777","319.3650273335451","66.10587972331147","141884.6969299422"
"misty-sweep-6","9456.711102694448","5416.876255954421","186.358150153004","66.63853813770376","238873.6018753284"
"fresh-sweep-5","12215.42370937557","3467.0060707232337","131.17387183631598","61.77542412671064","214828.49166602144"
"misty-sweep-4","11270.354636412596","14624.671207553049","534.2946312432433","72.99448058983687","91674.60434190002"
"fast-sweep-3","8609.641172020642","2124.8404685460446","70.2890334310083","63.97369704527721","315780.88241156517"
"stoic-sweep-2","12267.16589186168","11970.934221111538","426.87870079739264","70.08196730245243","115472.0407734436"
"dashing-sweep-1","6975.966057332839","1822.444686143237","65.44217993849497","65.54525729831818","371747.26077011495"